['989', '146', '116', '704', '712', '877', '828', '674', '176', '608', '207', '967', '263', '724', '517', '741', '746', '92', '734', '40']
['81', '736', '476', '187', '115', '680', '867', '788', '97', '152', '46', '444', '854', '349', '143', '454', '878', '581', '873', '66']
['794', '634', '641', '462', '977', '294', '455', '521', '923', '684', '6', '473', '422', '109', '526', '174', '101', '566', '251', '212']
['173', '508', '580', '802', '396', '451', '907', '267', '916', '535', '159', '541', '510', '688', '385', '38', '976', '108', '489', '577']
['856', '426', '14', '382', '842', '154', '328', '666', '311', '823', '234', '391', '372', '493', '253', '11', '80', '283', '773', '715']
['199', '82', '874', '344', '876', '516', '156', '843', '13', '771', '785', '627', '458', '252', '862', '798', '511', '117', '739', '245']
['772', '126', '195', '287', '599', '91', '236', '30', '223', '166', '7', '626', '435', '698', '836', '12', '850', '315', '414', '69']
['257', '184', '670', '813', '740', '750', '865', '789', '952', '162', '381', '784', '88', '808', '233', '424', '548', '512', '413', '327']
['446', '25', '84', '211', '944', '860', '519', '477', '386', '32', '438', '671', '902', '247', '585', '917', '809', '946', '707', '331']
['669', '316', '879', '610', '142', '127', '67', '657', '306', '49', '457', '123', '835', '881', '555', '345', '529', '594', '417', '209']
['866', '387', '551', '875', '393', '986', '388', '691', '449', '647', '232', '346', '561', '523', '801', '484', '474', '244', '938', '465']
['208', '300', '575', '758', '497', '522', '997', '2', '629', '607', '149', '106', '459', '819', '988', '86', '206', '892', '597', '475']
['147', '75', '203', '654', '60', '228', '667', '85', '814', '218', '8', '118', '133', '991', '640', '726', '774', '711', '436', '783']
['547', '507', '970', '158', '18', '119', '681', '172', '59', '679', '525', '171', '194', '721', '613', '929', '787', '441', '645', '138']
['35', '282', '797', '357', '72', '624', '42', '286', '352', '966', '764', '701', '144', '241', '925', '168', '132', '544', '196', '348']
['696', '505', '262', '51', '361', '104', '978', '148', '364', '63', '339', '648', '886', '893', '825', '760', '470', '22', '972', '990']
['536', '227', '210', '43', '718', '120', '849', '603', '343', '495', '452', '53', '590', '170', '371', '926', '782', '249', '500', '351']
